Artist,Play Count
The Pastels,1
The BPA,1
The J.B.'s,2
The Futureheads,62
The Crystal Method,1
The Good the bad and the queen,22
The Duke Spirit,1
The Psychedelic Furs,51
The Verve,7
The Spinners,5
Thee Oh Sees,3
The Prodigy,68
The Wolfe Tones,1
The Beatles,660
The All-American Rejects,3
The Detroit Emeralds,2
The Chambers Brothers,4
The Muppets,2
The Sonics,6
Therapy?,37
The Darkness,1
The Loops of Fury,1
The Frames,10
The Jon Spencer Blues Explosion,16
The Mops,19
The Datsuns,14
The National,72
The Disposable Heroes Of Hiphoprisy,3
The Dead Weather,37
The Clash,282
The Cure,150
The Joy Formidable,1
The Amazing Snakeheads,1
Thelonious Monk Quartet,1
The Black Angels,2
The Cardigans,1
The Lemonheads,685
The Decemberists,191
The Moldy Peaches,36
The Duckworth Lewis Method,44
The Rentals,1
The B-52's,27
The Band,43
The Red Army Choir,1
The Soundtrack Studio Stars,1
The Head and the Heart,1
The Kooks,33
The Mars Volta,167
The Sensations,3
The Producers,3
The Yardbirds,57
The Primitives,1
The Good the Bad & the Queen,5
The Pyschedelic Furs,9
The Postal Service,15
The Smiths,739
The Beta Band,105
The Soggy Bottom Boys,1
The Doobie Brothers,3
The Traveling Wilburys,4
The Roots,24
The Thermals,2
The Streets Vs. Bloc Party,3
The Runaways,21
The Kissaway Trail,14
The Slits,4
The Mavericks,1
The Searchers,2
The Notorious B.I.G.,25
The Frank & Walters,1
The Chalets,303
The Police,1
The Stranglers,21
Theme Tune,2
The Bats,2
The Daktaris,6
The Royal They,4
The Vines,62
The Murder Of Crows,30
They Live,1
The Get Up Kids,8
The Murlocs,1
The Kills,69
The Link Quartet,3
The Haggis Horns,2
The Brothers of Soul,3
The Wonder Stuff,1
The Carters,25
The New Mastersounds,3
The Streets,42
The Fratellis,2
The Lumineers,19
The Shadows,2
The Mamas & the Papas,3
The 13th Floor Elevators,2
The Used,1
The Orwells,1
The Velvelettes,2
The Mighty Imperials,4
The Brothers,1
The Offspring,74
The Whispers,4
The Aliens,53
The Impressions,6
The Jimi Hendrix Experience,22
The Wrens,1
The Dismemberment Plan,14
The Seahorses,3
The Clean,1
The Libertines,225
The Dells,64
The Pointer Sisters,1
The Juan Maclean,49
The Five Stairsteps,4
The Flaming Lips with Neon Indian,4
The Stunning,13
The Wailers,4
The Black Keys,149
The Electric Peanut Butter Company,1
The Young Knives,211
The Phenomenal Handclap Band,1
The Bluetones,4
The La's,21
The Blossoms,2
The Butchies,1
The Wire,2
The Rubberbandits,136
The Mirettes,3
The Marvelettes,1
The Vaselines,8
The White Stripes,125
The Russian Futurists,48
The Raspberries,1
The Cleaners From Venus,1
The Attack,1
The Subways,3
The Hi-Fly Orchestra,1
The Sultans Of Ping F.C.,8
The Dresden Dolls,1
Theophilus London,1
The Watts 103rd. Street Rhythm Band,1
The Staple Singers,4
The Cult,5
The Girls,3
The Afghan Whigs,3
The Smashing Pumpkins,283
The Shirelles,3
The Mad Capsule Markets,2
The Walker Brothers,1
The Simpsons,1
The Surfaris,3
The Feelies,2
The Fearless Flyers,1
The Vandals,10
The Specials,256
The Blind Boys Of Alabama,23
The Glimmers,2
The Jesus and Mary Chain,30
The Olympics,5
The Dave Brubeck Quartet,2
The Graham Bond Organisation,1
The Chemical Brothers,167
The Lively Ones,2
The Innocent Bystanders,1
The Unsuspecting Public,1
The Killers,10
The Trammps,2
The Dandy Warhols,32
The Human League,1
The Babies,1
The Horrors,7
The Rosebuds,1
The Raconteurs,37
The 5.6.7.8's,1
The Heptones,4
The Temptations,33
The Von Bondies,23
The Other Ones,1
The Monks,1
The Ordinary Boys,129
The Others,1
The Animals,11
The Pharcyde,1
The Ting Tings,35
The Hat,1
The Boomtown Rats,4
The Ad Libs,1
The Julie Ruin,2
The Antlers,1
The Brothers Johnson,22
The Mountain Goats,11
Them,44
The Lovin' Spoonful,6
The Charmels,2
The Isley Brothers,12
the dap-kings,2
The Ataris,26
The Strypes,1
The Soul Investigators,3
The Walls,1
The Allman Brothers Band,2
The Bees,3
The Most Serene Republic,12
The Rakes,7
The Radio Dept.,1
The Answer,19
The Empire Podcast,4
The Glands,1
The Patterson Singers,1
The Rural Alberta Advantage,1
The Staves,12
The Revolutionaries,2
The Jahlights,2
The Go! Team,40
The First Edition,2
The Coup,5
The Pogues,73
The Shins,355
The Wannadies,2
The Modern Lovers,12
The Hives,16
The Flirtations,1
The Microphones,3
The Gaslight Anthem,1
The Beach Boys,31
The Time,1
The Strokes,138
The Long Blondes,109
The Jesus Lizard,30
The Apples in Stereo,6
The Pixies,3
The Promise Ring,1
The Cramps,25
The Casualeers,2
The Sea and Cake,2
The Go-Betweens,2
The Murder Capital,1
The Redneck Manifesto,12
The Bobby Fuller Four,1
The Tenth,6
The Weather Girls,1
The Buzzcocks,1
The Bags,1
The Magnetic Fields,4
The Meters,33
The Velvet Underground,82
The Neville Brothers,1
The Highlighters Band,2
The Knife,49
The Presidents of the United States of America,108
The Goops,3
The Beat,5
The Lonely Island,166
The Coasters,1
The Polyphonic Spree,186
The Fall,99
The Maccabees,1
The Jouby's,1
the Dynells,3
The Fuzz,1
The Bloody Beetroots,42
The Supremes,5
The Communards,1
The Dynamics,1
The Flamingos,1
The Walkmen,17
The Winstons,1
The Hold Steady,8
The Dramatics,1
The The,107
The Japanese House,1
The Hollies,2
The Rapture,90
The Monkees,1
The Apples,2
The Frank and Walters,16
The Detroit Cobras,2
The Dodos,1
The Big Moon,2
The Chieftains,1
The Robins,2
The Pipettes,1
The Mar-Keys,2
Thelonious Monk,6
The Damned,4
Theme Songs,1
The Notwist,1
The Whitest Boy Alive,2
The Zutons,27
The Barden Bellas,1
The Bugle,56
The Blues Brothers,48
The West Coast Pop Art Experimental Band,3
The Langley Schools Music Project,1
The Siren Six!,2
The Poets of Rhythm,3
The Nighthawks,1
The Jam,66
The Knack,2
The Shitz,12
The Brian Jonestown Massacre,3
The Districts,1
The Film Score Orchestra,1
The (International) Noise Conspiracy,1
The Units,1
The Cast of Cheers,246
The Internet,3
The Distillers,10
The Mighty Boosh,158
The Apollas,1
The Kingsmen,2
The Scratch,4
The Sugarhill Gang,1
The Wombats,11
The Saw Doctors,13
The Kinks,73
The Soul Brothers Six,4
The Doors,470
Thee Michelle Gun Elephant,81
The United States of America,140
The Vandellas,5
The Bar-Kays,2
The New Pornographers,45
The Commitments,16
The Music,4
The Stone Roses,400
The Pot Head,1
The Last Shadow Puppets,2
The Dubliners,8
The Sound Stylistics,1
They Might Be Giants,83
The Easybeats,1
The Waitresses,1
The Mighty Lemon Drops,2
The Stooges,226
The Ronettes,1
The Chats,5
The Unicorns,2
The Champs,2
The Rolling Stones,211
The QI Elves,86
The Zombies,8
The Japanese Popstars,140
The Byrds,9
The Donnas,5
The Replacements,27
The Rub,1
The Birthday Party,1
The Invitations,1
The Coral,28
Them Crooked Vultures,6
The Waterboys,7
The Peep Tempel,1
Theo Katzman,2
The Orb,2
The Tornadoes,3
The Breeders,149
The Selecter,4
The Nerves,1
The Blasters,1
The Proclaimers,1
The Budos Band,14
The Black Ghosts,3
The Revs,4
The English Beat,58
The Lemon Twigs,1
The Fat Lady Sings,2
The Muffs,2
The Bonzo Dog Band,1
The Emotions,3
The Mighty Mighty Bosstones,32
The Carstairs,1
The Faint,1
The Paddingtons,2
The Barbs,2
The Avalanches,60
The New York Dolls,1
The 2 Bears,1
The Fatima Mansions,18
The Drums,12
The Undertones,5
The Fiery Furnaces,3
The 1900s,12
The Velvet Underground & Nico,8
The Magic Numbers,1
The xx,13
The Style Council,1
The Evens,1
The O'Jays,14
The Boy Least Likely To,51
The Gap Band,2
The Chords,1
The Sleepy Jackson,2
The Delfonics,7
The Drifters,4
The HiFly Orchestra,1
The Centurians,1
The Cars,2
The Automatic,8
The Flaming Lips,390
The Spencer Davis Group,3
The Comet Is Coming,2
The Only Ones,22
The Gossip,70
The Sugarcubes,18
The Housemartins,1
The Beths,1
The Unseen Guest,1
The Special AKA,6
The View,14
The Divine Comedy,47
The Future Kings of Spain,4
The Village Callers,1
The Meices,2
The Jackson 5,3
The Electric Soft Parade,10
The Family Crest,1
The Tossers,1
The Stone Roses V Lily Allen,1
The Gun Club,2
The Cribs,1
The Vendetta,1
The War on Drugs,31
The Who,160
The Stoats,3
The Statler Brothers,1
The All Seeing I,2
The Pains of Being Pure at Heart,3
The Smartest Man in the World,2
The Milk Carton Kids,5
The Cranberries,12
